	Num_nodes	Num_malicious	consensus_percent	num_outbound_links	max_unl	min_unl	unl_threshold	overlappingUNLs	min_c2c_latency	max_c2c_latency	min_e2c_latency	max_e2c_latency	convergence_time	unprocessed_messages	total_messages_sent	unprocessed_messages ratio	noConvergence	malicious nodes portion
235	200	56	80	10	30	29	14	0.99	5	200	5	50	366	14632	26831	0.35289299999999996	0	28
236	200	58	80	10	30	27	13	0.9	5	200	5	50	1647	0	74882	0.0	1	29
237	200	58	80	10	30	27	13	0.91	5	200	5	50	1647	0	74882	0.0	1	29
238	200	58	80	10	30	28	14	0.95	5	200	5	50	2024	0	73362	0.0	1	29
239	200	58	80	10	30	29	14	0.99	5	200	5	50	1368	0	67603	0.0	1	29
240	200	60	80	10	30	27	13	0.9	5	200	5	50	901	14072	68316	0.170802	0	30
241	200	60	80	10	30	27	13	0.91	5	200	5	50	901	14072	68316	0.170802	0	30
242	200	60	80	10	30	28	14	0.95	5	200	5	50	1391	0	70558	0.0	1	30
243	200	60	80	10	30	29	14	0.99	5	200	5	50	1563	0	81514	0.0	1	30
244	200	62	80	10	30	27	13	0.9	5	200	5	50	887	14163	67597	0.173227	0	31
245	200	62	80	10	30	27	13	0.91	5	200	5	50	887	14163	67597	0.173227	0	31
246	200	62	80	10	30	28	14	0.95	5	200	5	50	1708	0	93272	0.0	1	31
247	200	62	80	10	30	29	14	0.99	5	200	5	50	1421	0	70120	0.0	1	31
248	200	64	80	10	30	27	13	0.9	5	200	5	50	954	14546	73583	0.165054	0	32
249	200	64	80	10	30	27	13	0.91	5	200	5	50	954	14546	73583	0.165054	0	32
250	200	64	80	10	30	28	14	0.95	5	200	5	50	1562	0	82713	0.0	1	32
251	200	64	80	10	30	29	14	0.99	5	200	5	50	1643	0	90286	0.0	1	32
252	200	66	80	10	30	27	13	0.9	5	200	5	50	396	14527	29019	0.33360100000000004	0	33
253	200	66	80	10	30	27	13	0.91	5	200	5	50	396	14527	29019	0.33360100000000004	0	33
254	200	66	80	10	30	28	14	0.95	5	200	5	50	1428	0	74693	0.0	1	33
255	200	66	80	10	30	29	14	0.99	5	200	5	50	1585	0	83345	0.0	1	33
256	200	68	80	10	30	27	13	0.9	5	200	5	50	397	14471	28638	0.33568400000000004	0	34
257	200	68	80	10	30	27	13	0.91	5	200	5	50	397	14471	28638	0.33568400000000004	0	34
258	200	68	80	10	30	28	14	0.95	5	200	5	50	2849	0	155607	0.0	1	34
259	200	68	80	10	30	29	14	0.99	5	200	5	50	1811	0	99379	0.0	1	34
260	200	70	80	10	30	27	13	0.9	5	200	5	50	854	14425	65686	0.180063	0	35
261	200	70	80	10	30	27	13	0.91	5	200	5	50	854	14425	65686	0.180063	0	35
262	200	70	80	10	30	28	14	0.95	5	200	5	50	2007	0	87101	0.0	1	35
263	200	70	80	10	30	29	14	0.99	5	200	5	50	1504	12154	111643	0.09817689999999998	0	35
264	200	80	80	10	30	27	13	0.9	5	200	5	50	441	14480	32159	0.31046999999999997	0	40
265	200	80	80	10	30	27	13	0.91	5	200	5	50	441	14480	32159	0.31046999999999997	0	40
266	200	80	80	10	30	28	14	0.95	5	200	5	50	891	14724	70658	0.172449	0	40
267	200	80	80	10	30	29	14	0.99	5	200	5	50	1021	14753	82020	0.15245	0	40
